query_id,query_text,is_prof_video,domain_label,content_type,decision,data_source
imdb_neg_1108,актеры фильма Чeтыре пера,false,non_video,,non_video,synthetic
imdb_gen_81,смешные комедии,true,prof_video,generic,generic_video,synthetic
imdb_neg_633,как починить кран,false,non_video,,non_video,synthetic
imdb_gen_257,боевики смотреть,true,prof_video,generic,generic_video,synthetic
imdb_pos_511,Catch-22 смотреть,true,prof_video,film,auto_accept,synthetic
imdb_pos_2535,фильм Ошибка времени,true,prof_video,film,auto_accept,synthetic
imdb_pos_308,My Bloody Valentine смотреть,true,prof_video,film,auto_accept,synthetic
imdb_neg_1082,актеры фильма Подпольная империя,false,non_video,,non_video,synthetic
imdb_pos_1847,Бессмертные: Война миров смотреть,true,prof_video,film,auto_accept,synthetic
imdb_neg_870,погода на завтра спб,false,non_video,,non_video,synthetic
imdb_pos_711,Счастье для начинающих бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_pos_2876,Долг превыше всего бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_pos_1702,Белый лотос смотреть онлайн,true,prof_video,series,auto_accept,synthetic
imdb_neg_344,купить билет на Mediterraneo,false,non_video,,non_video,synthetic
imdb_pos_514,фильм Стюарт Литтл 2,true,prof_video,film,auto_accept,synthetic
imdb_neg_592,купить билет на Одиссей,false,non_video,,non_video,synthetic
imdb_gen_17,боевики смотреть,true,prof_video,generic,generic_video,synthetic
imdb_gen_171,смешные комедии,true,prof_video,generic,generic_video,synthetic
imdb_pos_496,Кундун онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_pos_2434,Спасибо за вашу службу онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_pos_2866,Generation Kill смотреть онлайн,true,prof_video,series,auto_accept,synthetic
imdb_gen_128,боевики смотреть,true,prof_video,generic,generic_video,synthetic
imdb_pos_2406,Джеки Браун бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_neg_977,саундтрек из Око за око,false,non_video,,non_video,synthetic
imdb_neg_1123,актеры фильма Красотки в Кливленде,false,non_video,,non_video,synthetic
imdb_gen_392,боевики смотреть,true,prof_video,generic,generic_video,synthetic
imdb_pos_232,Bugsy бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_gen_101,сериалы онлайн бесплатно,true,prof_video,generic,generic_video,synthetic
imdb_pos_1945,Butterfly on a Wheel смотреть,true,prof_video,film,auto_accept,synthetic
imdb_pos_772,сериал Обреченные на славу,true,prof_video,series,auto_accept,synthetic
imdb_neg_1240,карта кинотеатров,false,non_video,,non_video,synthetic
imdb_pos_1956,Wait Until Dark смотреть,true,prof_video,film,auto_accept,synthetic
imdb_pos_1090,сериал Убить или быть убитым,true,prof_video,series,auto_accept,synthetic
imdb_pos_484,фильм Rampage,true,prof_video,film,auto_accept,synthetic
imdb_neg_563,как починить кран,false,non_video,,non_video,synthetic
imdb_pos_2082,фильм The French Connection,true,prof_video,film,auto_accept,synthetic
imdb_neg_1427,как починить кран,false,non_video,,non_video,synthetic
imdb_neg_947,купить билет на Серый человек,false,non_video,,non_video,synthetic
imdb_pos_2122,Могучий Джо Янг смотреть,true,prof_video,film,auto_accept,synthetic
imdb_pos_1279,Altered States бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_pos_1786,фильм Solo: A Star Wars Story,true,prof_video,film,auto_accept,synthetic
imdb_pos_252,Белый Бог бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_pos_919,Люс смотреть,true,prof_video,film,auto_accept,synthetic
imdb_pos_1317,A Christmas Story онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_pos_2497,365 Days: This Day бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_neg_602,Страх высоты отзывы критиков,false,non_video,,non_video,synthetic
imdb_gen_29,боевики смотреть,true,prof_video,generic,generic_video,synthetic
imdb_neg_890,карта кинотеатров,false,non_video,,non_video,synthetic
imdb_neg_1445,Любовь и другие катастрофы отзывы критиков,false,non_video,,non_video,synthetic
imdb_neg_1455,как починить кран,false,non_video,,non_video,synthetic
imdb_pos_2831,Мрачные тени онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_neg_465,Папе снова 17 отзывы критиков,false,non_video,,non_video,synthetic
imdb_pos_2717,сериал The Simpsons,true,prof_video,series,auto_accept,synthetic
imdb_pos_551,Без компромиссов смотреть,true,prof_video,film,auto_accept,synthetic
imdb_gen_20,боевики смотреть,true,prof_video,generic,generic_video,synthetic
imdb_neg_810,"купить билет на С любовью, Саймон",false,non_video,,non_video,synthetic
imdb_gen_142,смешные комедии,true,prof_video,generic,generic_video,synthetic
imdb_neg_414,карта кинотеатров,false,non_video,,non_video,synthetic
imdb_pos_1304,фильм Неоновый демон,true,prof_video,film,auto_accept,synthetic
imdb_pos_1423,фильм Знакомство со спартанцами,true,prof_video,film,auto_accept,synthetic
imdb_neg_871,карта кинотеатров,false,non_video,,non_video,synthetic
imdb_pos_2073,Злой умысел бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_neg_1145,расписание электричек москва,false,non_video,,non_video,synthetic
imdb_gen_440,тупейшие хорроры,true,prof_video,generic,generic_video,synthetic
imdb_neg_620,купить билет на Talk Radio,false,non_video,,non_video,synthetic
imdb_pos_2921,Волны онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_pos_763,В поисках галактики бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_gen_38,сериалы онлайн бесплатно,true,prof_video,generic,generic_video,synthetic
imdb_pos_1120,The Cider House Rules бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_gen_383,тупейшие хорроры,true,prof_video,generic,generic_video,synthetic
imdb_pos_1985,Sakamoto Deizu смотреть онлайн,true,prof_video,series,auto_accept,synthetic
imdb_pos_444,Modern Family 1 сезон,true,prof_video,series,auto_accept,synthetic
imdb_neg_1436,саундтрек из Лоис и Кларк: Новые приключения Супермена,false,non_video,,non_video,synthetic
imdb_neg_683,как починить кран,false,non_video,,non_video,synthetic
imdb_neg_938,Война Харта отзывы критиков,false,non_video,,non_video,synthetic
imdb_pos_174,Khel Khel Mein смотреть,true,prof_video,film,auto_accept,synthetic
imdb_neg_1101,расписание электричек москва,false,non_video,,non_video,synthetic
imdb_pos_89,Полиция Токио все серии подряд,true,prof_video,series,auto_accept,synthetic
imdb_neg_514,саундтрек из Моя большая греческая свадьба,false,non_video,,non_video,synthetic
imdb_neg_472,рецензия Лиззи Магуайр,false,non_video,,non_video,synthetic
imdb_pos_901,скачать Les quatre cents coups 2024,true,prof_video,film,auto_accept,synthetic
imdb_pos_823,скачать Обещание 2024,true,prof_video,film,auto_accept,synthetic
imdb_pos_892,Silent House смотреть,true,prof_video,film,auto_accept,synthetic
imdb_neg_601,карта кинотеатров,false,non_video,,non_video,synthetic
imdb_pos_924,Кладбище домашних животных онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_pos_19,Люди Икс: Первый класс бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_neg_671,купить билет на Преступница Эмили,false,non_video,,non_video,synthetic
imdb_pos_280,Мальчики-налётчики бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_pos_180,Our Flag Means Death 1 сезон,true,prof_video,series,auto_accept,synthetic
imdb_pos_1856,скачать Дочь и мать её 2024,true,prof_video,film,auto_accept,synthetic
imdb_pos_712,Rogue Agent смотреть,true,prof_video,film,auto_accept,synthetic
imdb_pos_927,Поговори с ней онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_neg_722,саундтрек из Руины прошлого,false,non_video,,non_video,synthetic
imdb_pos_1246,Child's Play онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_pos_1869,Красотки в бегах онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_pos_2193,Свет в океане онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_pos_2550,Crew смотреть,true,prof_video,film,auto_accept,synthetic
imdb_pos_2671,Lesbian Vampire Killers бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_neg_1364,карта кинотеатров,false,non_video,,non_video,synthetic
imdb_pos_368,скачать The Jungle Book 2 2024,true,prof_video,film,auto_accept,synthetic
imdb_neg_1456,Правила съема: Метод Хитча отзывы критиков,false,non_video,,non_video,synthetic
imdb_gen_307,лучшие фильмы 1999 года,true,prof_video,generic,generic_video,synthetic
imdb_pos_2974,скачать Придурок 2024,true,prof_video,film,auto_accept,synthetic
imdb_neg_1198,рецензия Бартон Финк,false,non_video,,non_video,synthetic
imdb_pos_1544,Укуренные бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_neg_400,Скромное обаяние буржуазии отзывы критиков,false,non_video,,non_video,synthetic
imdb_neg_1390,Жизнь в деталях отзывы критиков,false,non_video,,non_video,synthetic
imdb_pos_2494,Мир Уэйна онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_pos_450,A Star Is Born онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_pos_2301,скачать WarGames 2024,true,prof_video,film,auto_accept,synthetic
imdb_pos_2641,The Bold Type смотреть онлайн,true,prof_video,series,auto_accept,synthetic
imdb_gen_285,боевики смотреть,true,prof_video,generic,generic_video,synthetic
imdb_neg_1209,погода на завтра спб,false,non_video,,non_video,synthetic
imdb_pos_1859,Опасный метод смотреть,true,prof_video,film,auto_accept,synthetic
imdb_pos_1896,скачать Körkarlen 2024,true,prof_video,film,auto_accept,synthetic
imdb_pos_1611,сериал Блич: Тысячелетняя кровавая война,true,prof_video,series,auto_accept,synthetic
imdb_pos_499,скачать Самба 2024,true,prof_video,film,auto_accept,synthetic
imdb_pos_1192,Операция 'Колибри' смотреть,true,prof_video,film,auto_accept,synthetic
imdb_neg_405,как починить кран,false,non_video,,non_video,synthetic
imdb_pos_182,фильм Глюки,true,prof_video,film,auto_accept,synthetic
imdb_neg_1407,актеры фильма Midnight Run,false,non_video,,non_video,synthetic
imdb_pos_983,Master of None все серии подряд,true,prof_video,series,auto_accept,synthetic
imdb_neg_826,купить билет на Все закончится на нас,false,non_video,,non_video,synthetic
imdb_pos_1188,Человек года смотреть,true,prof_video,film,auto_accept,synthetic
imdb_pos_2254,Город призраков онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_pos_1018,The Wackness бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_pos_779,The New World онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_pos_1095,Психо 3 онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_neg_1428,купить билет на Хостел,false,non_video,,non_video,synthetic
imdb_neg_298,саундтрек из Доктор Стрэндж,false,non_video,,non_video,synthetic
imdb_pos_1419,Любовная лихорадка смотреть,true,prof_video,film,auto_accept,synthetic
imdb_gen_355,лучшие фильмы 1991 года,true,prof_video,generic,generic_video,synthetic
imdb_pos_2392,Наваждение онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_pos_1887,"фильм Осло, 31-го августа",true,prof_video,film,auto_accept,synthetic
imdb_pos_1773,Преступник: Великобритания 1 сезон,true,prof_video,series,auto_accept,synthetic
imdb_neg_1093,Моя ужасная няня 2 отзывы критиков,false,non_video,,non_video,synthetic
imdb_neg_1027,карта кинотеатров,false,non_video,,non_video,synthetic
imdb_neg_654,карта кинотеатров,false,non_video,,non_video,synthetic
imdb_pos_784,скачать Уж кто бы говорил 3 2024,true,prof_video,film,auto_accept,synthetic
imdb_pos_2179,The Boys from Brazil смотреть,true,prof_video,film,auto_accept,synthetic
imdb_pos_1512,Tucker: The Man and His Dream онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_pos_746,Событие 1 сезон,true,prof_video,series,auto_accept,synthetic
imdb_pos_79,#Home онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_gen_382,лучшие фильмы 2006 года,true,prof_video,generic,generic_video,synthetic
imdb_gen_233,смешные комедии,true,prof_video,generic,generic_video,synthetic
imdb_pos_520,скачать Далласский клуб покупателей 2024,true,prof_video,film,auto_accept,synthetic
imdb_pos_1960,Отряд 'Антитеррор' все серии подряд,true,prof_video,series,auto_accept,synthetic
imdb_gen_192,тупейшие хорроры,true,prof_video,generic,generic_video,synthetic
imdb_neg_381,саундтрек из Лови волну,false,non_video,,non_video,synthetic
imdb_neg_1177,расписание электричек москва,false,non_video,,non_video,synthetic
imdb_pos_1011,фильм Полицейская история 3: Суперполицейский,true,prof_video,film,auto_accept,synthetic
imdb_neg_1019,рецензия Jaws: The Revenge,false,non_video,,non_video,synthetic
imdb_pos_239,Картик звонит Картику бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_pos_1257,Wait Until Dark бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_neg_1029,Танцующий с волками отзывы критиков,false,non_video,,non_video,synthetic
imdb_pos_389,Splash бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_gen_12,смешные комедии,true,prof_video,generic,generic_video,synthetic
imdb_neg_1038,как починить кран,false,non_video,,non_video,synthetic
imdb_pos_1000,фильм Working Girl,true,prof_video,film,auto_accept,synthetic
imdb_pos_2706,Охотники за сокровищами смотреть,true,prof_video,film,auto_accept,synthetic
imdb_neg_178,купить билет на В ловушке,false,non_video,,non_video,synthetic
imdb_neg_943,рецензия Новый Амстердам,false,non_video,,non_video,synthetic
imdb_pos_2865,скачать Чтo случилось прошлой ночью 2024,true,prof_video,film,auto_accept,synthetic
imdb_pos_1688,Сердца в Атлантиде смотреть,true,prof_video,film,auto_accept,synthetic
imdb_pos_212,Одинокие волки смотреть,true,prof_video,film,auto_accept,synthetic
imdb_neg_755,рецензия Bird on a Wire,false,non_video,,non_video,synthetic
imdb_neg_568,расписание электричек москва,false,non_video,,non_video,synthetic
imdb_pos_1040,скачать I Walked with a Zombie 2024,true,prof_video,film,auto_accept,synthetic
imdb_pos_1079,Бархатная золотая жила онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_neg_1050,карта кинотеатров,false,non_video,,non_video,synthetic
imdb_pos_1969,Доктор Ноу онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_neg_1013,расписание электричек москва,false,non_video,,non_video,synthetic
imdb_gen_3,смешные комедии,true,prof_video,generic,generic_video,synthetic
imdb_gen_32,боевики смотреть,true,prof_video,generic,generic_video,synthetic
imdb_pos_1929,"фильм Всемирная история, часть 1",true,prof_video,film,auto_accept,synthetic
imdb_neg_584,погода на завтра спб,false,non_video,,non_video,synthetic
imdb_neg_438,рецензия Девушка познаёт мир,false,non_video,,non_video,synthetic
imdb_pos_594,фильм The Adventures of Robin Hood,true,prof_video,film,auto_accept,synthetic
imdb_pos_1129,скачать Девушка мечты 2024,true,prof_video,film,auto_accept,synthetic
imdb_pos_2875,The Proposal смотреть,true,prof_video,film,auto_accept,synthetic
imdb_pos_1979,скачать Охота на воров 2. Пантера 2024,true,prof_video,film,auto_accept,synthetic
imdb_pos_501,скачать Блэйд 2 2024,true,prof_video,film,auto_accept,synthetic
imdb_pos_1886,Дядя Дрю бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_pos_224,6 Bullets онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_pos_961,Z - значит Захария смотреть,true,prof_video,film,auto_accept,synthetic
imdb_pos_1137,"Привет, Билл! бесплатно",true,prof_video,film,auto_accept,synthetic
imdb_gen_121,сериалы онлайн бесплатно,true,prof_video,generic,generic_video,synthetic
imdb_pos_2984,Отчет о буйстве духов 1 сезон,true,prof_video,series,auto_accept,synthetic
imdb_pos_1963,Последнее письмо от твоего любимого бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_neg_583,Twelve O'Clock High отзывы критиков,false,non_video,,non_video,synthetic
